# pattern;frequency
;1289;{}
2d2n3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1, ==ဘာသာျပန္ <!--Translation-->===1}
2d2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====6, ====ဆက်စပ်အသုံးများ=====6, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====6, ====အင်္ဂလိပ်=====6, ====အရေအတွက်=====6, ===ကြိယာ====5, ===နာမ်====1, ===ဘာသာပြန်====6, ===ရင်းမြစ်====6, ===အသံထွက်====6, =={{=my=}}===6, ==ကိုးကား===6, ==နာမဝိသေသန===1}
2d2n3d4d;1;{====အင်္ဂလိပ်=====1, ===ဘာသာပြန်====1, =={{=en=}}===1, =={{=my=}}===1}
2d2n4d;2;{====ဆက်စပ်အသုံးများ=====1, =={{=en=}}===1, =={{=my=}}===1}
2d3d;29242;{===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d2u;7;{===နာမဝိသေသန====1, ==ကြောင်းတူသံကွဲ====1, ==အင်္ဂလိပ်===1}
2d3d2u2n;7;{===နာမ်====1, =={{-kh-}}===1, =={{-th-}}===1, =={{=en=}}===1}
2d3d2u2n2n;3;{===နာမ်===1, ==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d3d2u2n3d;1;{===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==ကြိယာ===1, ==နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d3d2u2n3d3n;1;{===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==ကြိယာ နှင့် နာမဝိသေသန===1, ==ကြိယာ နှင့် နာမ်===1, ==အင်္ဂလိပ်===1}
2d3d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===See also<!--Please translate "See also"-->====1, ===ကြိယာ====1, ===နာမ်====1, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===ဝါစင်္ဂ====1, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===3, ==နာမ္ {{-my-နာမ္-}} <!--Noun-->===1, ==ဘာသာျပန္ <!--Translation-->===1}
2d3d2u3d;9;{==={{နာမဝိသေသန}}====1, ==={{အီဒီယမ်}}====1, =={{=en=}}===2}
2d3d2u3d2u;1;{=== ဥပမာ ====1, ===ဖြည့်စွက်စာလုံး====1, ==လိုအပ်ချက်များ===1, ==အကြံပြု===1, ==အခြေခံများ===1}
2d3d2u3d2u3d;1;{==={{en-pronoun}}====1, ==={{ကြိယာဝိသေသန}}====1, ==={{နာမ်}}====1, =={{=en=}}===3}
2d3d2u3d2u3d2u3d2u3d2u3d2u3d;1;{===နာမ်====7, ==Danish===1, ==Dutch===1, ==Estonian===1, ==Icelandic===1, ==Norwegian===1, ==Slovak===1, ==Swedish===1}
2d3d2u3d3n;7;{===အက္ခရာ====1, ===အသံထွက်====2, =={{-th-}}===2}
2d3d2u3d3n3n4d4n4n4n3u4d2u;33;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====3, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, ==Burmese===1, =={{=my=}}===2, ==ကိုးကား===2}
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===နာမ်====4, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, ==Burmese===1, =={{=my=}}===3, ==ကိုးကား===3}
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===Letter====1, ===ကြိယာ====3, ===နာမ်====1, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====4, ==Translingual===1, =={{=my=}}===4, ==ကိုးကား===4}
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====7, ====ဆက်စပ်အသုံးများ=====7, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====7, ====အင်္ဂလိပ်=====7, ====အရေအတွက်=====7, ===ကြိယာ====3, ===နာမ်====4, ===ဘာသာပြန်====7, ===ရင်းမြစ်====7, ===ဝါစင်္ဂ====1, ===အသံထွက်====7, ==Burmese===1, =={{=my=}}===7, ==ကိုးကား===7}
2d3d2u3d3n4d;1;{=== ရင်းမြစ် ====1, === အသံထွက် ====1, ==== နာမ် =====1, ==={{နာမ်}}====1, =={{=en=}}===1, =={{=ms=}}===1}
2d3d2u3d4d3u;1;{====ကြောင်းတူစာလုံးကွဲများ=====1, ===ကြိယာ====1, ===တခြားသုံး ပုံစံများ====1, ===နာမဝိသေသန====1, ==အင်္ဂလိပ်===2}
2d3d2u4d;1;{====ဆက်စပ်အသုံးများ=====1, ===နာမ်====1, =={{=en=}}===1, ==သံတူကြောင်းကွဲ===1}
2d3d3n;1896;{===တခြား​အသုံး​အနှုန်း====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d3n2u;5;{===ကြောင်းတူသံကွဲ====1, ===နာမ်====1, ==ဆန့်ကျင်ဘက်===1, ==အင်္ဂလိပ်===1}
2d3d3n2u2n;8;{===ကြိယာ====1, ===နာမ်====1, ==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==အင်္ဂလိပ်===1}
2d3d3n2u2n2n;1;{===ကြိယာ====1, ===နာမ်====1, =={{=en=}}===1, ==ကြောင်းတူသံကွဲ===1, ==ဆက်စပ်လေ့လာရန်===1, ==ဆန့်ကျင်ဘက်===1}
2d3d3n2u3d3n;2;{===နာမ်====2, ===အသံထွက်====2, ==ပြင်သစ်===1, ==အင်္ဂလိပ်===1}
2d3d3n2u3d3n3n4d4n4n4n3u4d2u;13;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===Synonym====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===Synonym====1, ===နာမ်====3, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, ==Burmese===1, =={{=my=}}===2, ==ကိုးကား===2}
2d3d3n2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===ကြောင်းတူသံကွဲ====1, ===နာမ်====4, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===4, ==ကိုးကား===3}
2d3d3n3n;5744;{===တခြား​အသုံး​အနှုန်း​များ====1, ===နာမ်====1, ===အသံ​ထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n2u3d;1;{===ကြိယာ====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==French===1, ==အင်္ဂလိပ်===1}
2d3d3n3n2u3d3n;1;{===ကြိယာ====1, ===နာမဝိသေသန====1, ===နာမ်====2, ===ဘာသာပြန်====1, =={{=en=}}===1, =={{=my=}}===1}
2d3d3n3n2u3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===Synonym====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====2, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n3n;620;{===ကြိယာ====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n2u;4;{===ကြိယာ====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===အာမေဋိတ်====1, ==ကိုးကား===1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n3n;60;{===ဆက်နွယ် ဝေါဟာရများ====1, ===ဆန့်ကျင်ဘက် ဝေါဟာရများ====1, ===နာမဝိသေသန====1, ===အနက်တူ ဝေါဟာရများ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n3n3n;2;{===''intj.'''====1, ===ကြိယာ နှင့် နာမဝိသေသန====1, ===ကြိယာ နှင့် နာမ်====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===ကြောင်းတူသံကွဲ====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====2, ==Burmese===1, ==ကိုးကား===1}
2d3d3n3n3n3n4d2u;1;{====အင်္ဂလိပ်=====1, ===[[နာမ်]]====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===သံတူကြောင်းကွဲ====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n3n3n4d4n4n4n3u4d2u;6;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====2, ==Burmese===1, ==ကိုးကား===1}
2d3d3n3n3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====3, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====3, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===2}
2d3d3n3n3n4d;3;{====အသုံးပြု​မှု​မှတ်သား​စရာ​များ=====1, ===ကြိယာ====1, ===တခြား​အသုံး​များ====1, ===နာမ်====1, ===မူရင်း​အမြစ်​ပြ====1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n4d2u;2;{====ကြောင်းတူစာလုံးကွဲများ=====1, ===ကြိယာ====1, ===တခြားသုံး ပုံစံများ====1, ===ဒါလည်းကြည့်ပါ====1, ===နာမ်====1, ==ဆင်းသက်လာသော အသုံးများ===1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n4d3u4d4n;4;{====ကြောင်းတူသံကွဲများ=====2, ====ဆင်းသက်လာသော အသုံးများ=====1, ===ကြိယာ====1, ===တခြားသုံး ပုစံများ====1, ===နာမဝီသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n4d4n;3;{====ကြောင်း​တူ​စာလုံး​ကွဲ​များ=====1, ====ဆင်းသက်​လာ​သော အသုံး​များ=====1, ===တခြား​အသုံး​ပုံစံ​များ====1, ===နာမ်====1, ===မူရင်း​မြစ်​ပြ====1, ===အသံ​ထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===ကြိယာ====4, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===3}
2d3d3n3n4d;20;{====ဒါ​လည်း​ကြည့်ပါ=====1, ===တခြား​အသုံး​ပုံစံ​များ====1, ===အတိုကောက်====1, ===အသံ​ထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d3u;7;{====ဆင်းသက်လာသောအသုံးများ=====1, ===ကြိယာ====1, ===တခြားအသုံးပုစံများ====1, ===ဒါလည်းကြည့်ပါ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d3u4d;1;{====ဆင့်ပွားအသုံးများ=====2, ===ကြိယာ====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, =={{=en=}}===1}
2d3d3n3n4d3u4d4n3u;3;{====ကြောင်းတူစာလုံးကွဲများ= ====2, ====ဆက်နွယ်သောအသုံးများ=====1, ===ကြိယာဝိသေသန====1, ===တခြားသုံး ပုံစံများ====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d4n;7;{====Synonyms=====1, ====သက်ဆင်းလာသော အသုံးများ=====1, ===ကြိယာ====1, ===နာမဝိသေသန====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d4n2u3d3n3n;2;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====ဆင်းသက်လာသောအသုံးများ=====1, ===တခြားအသုံးပုံစံများ====2, ===နာမ်====2, ===အသံထွက်====2, ==လက်တင်===1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d4n3u4d;2;{====ကြောင်းတူအသုံးများ=====2, ====ဆန့်ကျင်ဘက်အသုံးများ=====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===မူကွဲအသုံးများ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d4n4n;2;{====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်အသုံးများ=====1, ====သံတူကြောင်းကွဲများ=====1, ===ဆင့်ပွားအသုံးများ====1, ===နာမဝိသေသန====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d4n4n3u2u2n2n;1;{====Quotations=====1, ====Translations=====1, ====ဆင့်ပွားအသုံးများ=====1, ===Alternative forms====1, ===See also====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Estonian===1, ==Romanian===1, ==Swedish===1, =={{=en=}}===1}
2d3d3n3n4d4n4n4n;4;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====ဆက်နွယ်သောအသုံးများ=====1, ====ဆင်းသက်လာသောအသုံးများ=====1, ====အရင်းခံများ=====1, ===Pronunciation====1, ===တခြားသုံး ပုံစံများ====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d3n3n4d4n4n4n3u4d;1;{====ကြောင်း​တူ​သံ​ကွဲ​များ=====1, ====ဆက်​စပ်​အသုံး​များ=====1, ====ဆန့်ကျင်ဘက်​စကားလုံး​များ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာ​ပြန်====1, ===ရင်း​မြစ်====1, ===အသံ​ထွက်====1, =={{=my=}}===1}
2d3d3n3n4d4n4n4n3u4d2u;20606;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u2n;4;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1, ==ဥပမာ===1}
2d3d3n3n4d4n4n4n3u4d2u2n2n;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1, ==နာမ္ {{-my-နာမ္-}} <!--Noun--> ===1, ==ဘာသာျပန္ <!--Translation-->===1}
2d3d3n3n4d4n4n4n3u4d2u2n2n2n;5;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Burmese===1, ==Synonym===1, =={{=my=}}===1, ==ကိုးကား===1, ==နာမ်===1}
2d3d3n3n4d4n4n4n3u4d2u2n3d;2;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Myanmar===1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n;15;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====2, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n;7;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===Synonym====1, ===နာမ်====2, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====2, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;3703;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====2, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, =={{=my=}}===2, ==ကိုးကား===2}
